country,unit,totalsurplus
Germany,1000 tonnes,-2500
United Kingdom,1000 tonnes,-727
Japan,1000 tonnes,-448
Switzerland,1000 tonnes,-412
France,1000 tonnes,-332
Denmark,1000 tonnes,-287
United Arab Emirates,1000 tonnes,-268
Austria,1000 tonnes,-224
Canada,1000 tonnes,-172
Mexico,1000 tonnes,-157
Angola,1000 tonnes,-134
Kuwait,1000 tonnes,-109
Czech Republic,1000 tonnes,-106
Kazakhstan,1000 tonnes,-102
Romania,1000 tonnes,-91
Sweden,1000 tonnes,-90
Venezuela (Bolivarian Republic of),1000 tonnes,-79
Libya,1000 tonnes,-68
Italy,1000 tonnes,-47
Ireland,1000 tonnes,-46
Slovakia,1000 tonnes,-41
Jamaica,1000 tonnes,-41
Syrian Arab Republic,1000 tonnes,-39
Georgia,1000 tonnes,-39
Honduras,1000 tonnes,-38
Trinidad and Tobago,1000 tonnes,-37
Russian Federation,1000 tonnes,-36
Luxembourg,1000 tonnes,-35
Greece,1000 tonnes,-35
Republic of Korea,1000 tonnes,-33
Swaziland,1000 tonnes,-33
Hungary,1000 tonnes,-33
Philippines,1000 tonnes,-29
Estonia,1000 tonnes,-26
Nicaragua,1000 tonnes,-25
Gambia,1000 tonnes,-24
Indonesia,1000 tonnes,-24
Occupied Palestinian Territory,1000 tonnes,-19
Algeria,1000 tonnes,-18
Azerbaijan,1000 tonnes,-15
Guatemala,1000 tonnes,-15
Brunei Darussalam,1000 tonnes,-15
Guyana,1000 tonnes,-14
Congo,1000 tonnes,-14
Australia,1000 tonnes,-13
Mauritania,1000 tonnes,-13
Botswana,1000 tonnes,-13
Tunisia,1000 tonnes,-11
Barbados,1000 tonnes,-10
Serbia and Montenegro,1000 tonnes,-8
Israel,1000 tonnes,-8
Kyrgyzstan,1000 tonnes,-8
Mozambique,1000 tonnes,-8
Croatia,1000 tonnes,-7
Bosnia and Herzegovina,1000 tonnes,-7
Cuba,1000 tonnes,-7
Fiji,1000 tonnes,-7
Bahamas,1000 tonnes,-7
Slovenia,1000 tonnes,-6
Cyprus,1000 tonnes,-6
Malawi,1000 tonnes,-5
Malta,1000 tonnes,-5
Senegal,1000 tonnes,-5
Dominican Republic,1000 tonnes,-4
Yemen,1000 tonnes,-4
Norway,1000 tonnes,-4
Namibia,1000 tonnes,-4
United Republic of Tanzania,1000 tonnes,-3
Serbia,1000 tonnes,-3
Montenegro,1000 tonnes,-2
Morocco,1000 tonnes,-2
Ecuador,1000 tonnes,-1
Myanmar,1000 tonnes,-1
Kenya,1000 tonnes,-1
Zambia,1000 tonnes,-1
Gabon,1000 tonnes,0
Uganda,1000 tonnes,0
Mauritius,1000 tonnes,0
Côte d'Ivoire,1000 tonnes,0
Madagascar,1000 tonnes,0
Togo,1000 tonnes,0
Bolivia (Plurinational State of),1000 tonnes,0
French Polynesia,1000 tonnes,0
Iceland,1000 tonnes,0
Belize,1000 tonnes,0
Burkina Faso,1000 tonnes,0
New Caledonia,1000 tonnes,0
Ghana,1000 tonnes,0
Uzbekistan,1000 tonnes,0
Cameroon,1000 tonnes,0
Uruguay,1000 tonnes,0
Niger,1000 tonnes,0
Nepal,1000 tonnes,0
Cabo Verde,1000 tonnes,0
Sri Lanka,1000 tonnes,1
Costa Rica,1000 tonnes,2
Ethiopia,1000 tonnes,2
Egypt,1000 tonnes,4
Chile,1000 tonnes,6
Armenia,1000 tonnes,6
Pakistan,1000 tonnes,7
New Zealand,1000 tonnes,7
The former Yugoslav Republic of Macedonia,1000 tonnes,8
Albania,1000 tonnes,9
Panama,1000 tonnes,13
Portugal,1000 tonnes,13
Jordan,1000 tonnes,13
Peru,1000 tonnes,15
Colombia,1000 tonnes,16
Viet Nam,1000 tonnes,17
Republic of Moldova,1000 tonnes,25
Zimbabwe,1000 tonnes,26
Ukraine,1000 tonnes,28
South Africa,1000 tonnes,30
Latvia,1000 tonnes,30
Bulgaria,1000 tonnes,32
El Salvador,1000 tonnes,32
Lebanon,1000 tonnes,52
Argentina,1000 tonnes,56
Finland,1000 tonnes,70
Lithuania,1000 tonnes,83
Saudi Arabia,1000 tonnes,87
China,1000 tonnes,101
Thailand,1000 tonnes,201
Iran (Islamic Republic of),1000 tonnes,206
Brazil,1000 tonnes,211
Turkey,1000 tonnes,264
Belarus,1000 tonnes,312
Belgium,1000 tonnes,384
Poland,1000 tonnes,464
India,1000 tonnes,703
Malaysia,1000 tonnes,752
Spain,1000 tonnes,883
United States of America,1000 tonnes,1167
Netherlands,1000 tonnes,2883
