Olives,142682
Aquatic Plants,142439
Rice (Milled Equivalent),143592
Tea,142513
"Roots, Other",143566
Population,9560
Grapes,143238
Apples,143094
"Spices, Other",142849
"Marine Fish, Other",142931
Pineapples,143025
Cassava,143336
Pimento,142878
Rape and Mustard Oil,142731
Alcoholic Beverages + (Total),142894
Groundnuts (Shelled Eq),143533
"Sweeteners, Other",143199
Bananas,143272
Crustaceans,142895
Mutton & Goat Meat,142629
Cephalopods,142709
"Fish, Body Oil",142920
Palmkernel Oil,142819
Tomatoes,143027
Spices + (Total),143009
Sugar & Sweeteners + (Total),143629
Soyabeans,143760
Vegetable Oils + (Total),143187
Cereals - Excluding Beer + (Total),143782
"Fish, Seafood + (Total)",143325
Coconuts - Incl Copra,143272
Animal Products + (Total),28752
Sugar Cane,143466
Freshwater Fish,143052
"Cereals, Other",143469
"Oilcrops Oil, Other",142930
"Lemons, Limes",143027
Grapefruit,142880
"Butter, Ghee",142752
"Vegetables, Other",143445
Demersal Fish,142856
"Molluscs, Other",142636
Yams,143319
Groundnut Oil,142721
Cocoa Beans,142832
Sugarcrops + (Total),143684
Cottonseed Oil,142819
Honey,142365
Vegetal Products + (Total),28752
Milk - Excluding Butter + (Total),143486
Oats,143345
"Sugar, Non-Centrifugal",142143
Meat + (Total),143453
"Aquatic Animals, Others",142635
Maize Germ Oil,142439
Vegetables + (Total),143682
Peas,143368
Poultry Meat,142734
"Alcohol, Non-Food",141581
Treenuts + (Total),143335
"Meat, Aquatic Mammals",140526
Ricebran Oil,141751
"Beverages, Alcoholic",142293
Cloves,142731
Dates,142829
Potatoes,143542
Stimulants + (Total),143239
Wine,142464
Sesameseed Oil,142535
Cottonseed,142388
Offals + (Total),143186
Beer,142464
Pelagic Fish,142970
Plantains,143174
Sunflowerseed Oil,142739
Cream,142633
Eggs + (Total),143431
Miscellaneous + (Total),28762
"Oranges, Mandarines",143027
Barley,143346
Pulses + (Total),143535
Olive Oil,142388
Pepper,142633
Coconut Oil,142966
"Aquatic Products, Other + (Total)",142745
"Fruits, Other",143249
Sweet Potatoes,143368
Rye,143270
Sugar Beet,142651
Pigmeat,142997
Sunflowerseed,143288
"Beverages, Fermented",142512
Beans,143417
Onions,143027
Rape and Mustardseed,143466
"Oilcrops, Other",143640
Soyabean Oil,142734
Animal Fats + (Total),143433
Wheat,143396
Bovine Meat,143028
Millet,143711
Palm Oil,142917
Palmkernels,143074
"Meat, Other",143076
"Fish, Liver Oil",142878
"Citrus, Other",143123
Grand Total + (Total),28752
Sesameseed,143355
Fruits - Excluding Wine + (Total),143535
Sorghum,143711
Coffee,142832
"Pulses, Other",143419
Sugar (Raw Equivalent),142783
"Fats, Animals, Raw",143151
Maize,143372
Starchy Roots + (Total),143733
Oilcrops + (Total),143782
