element,item,year,country,unit,value
Food supply,Soyabeans,1961,Africa + (Total),kcal/capita/day,1
Food supply,Soyabeans,1962,Africa + (Total),kcal/capita/day,2
Food supply,Soyabeans,1963,Africa + (Total),kcal/capita/day,1
Food supply,Soyabeans,1964,Africa + (Total),kcal/capita/day,2
Food supply,Soyabeans,1965,Africa + (Total),kcal/capita/day,1
Food supply,Soyabeans,1966,Africa + (Total),kcal/capita/day,1
Food supply,Soyabeans,1967,Africa + (Total),kcal/capita/day,2
Food supply,Soyabeans,1968,Africa + (Total),kcal/capita/day,2
Food supply,Soyabeans,1969,Africa + (Total),kcal/capita/day,2
Food supply,Soyabeans,1970,Africa + (Total),kcal/capita/day,2
Food supply,Soyabeans,1971,Africa + (Total),kcal/capita/day,2
Food supply,Soyabeans,1972,Africa + (Total),kcal/capita/day,2
Food supply,Soyabeans,1973,Africa + (Total),kcal/capita/day,2
Food supply,Soyabeans,1974,Africa + (Total),kcal/capita/day,2
Food supply,Soyabeans,1975,Africa + (Total),kcal/capita/day,2
Food supply,Soyabeans,1976,Africa + (Total),kcal/capita/day,2
Food supply,Soyabeans,1977,Africa + (Total),kcal/capita/day,2
Food supply,Soyabeans,1978,Africa + (Total),kcal/capita/day,2
Food supply,Soyabeans,1979,Africa + (Total),kcal/capita/day,2
Food supply,Soyabeans,1980,Africa + (Total),kcal/capita/day,2
Food supply,Soyabeans,1981,Africa + (Total),kcal/capita/day,2
Food supply,Soyabeans,1982,Africa + (Total),kcal/capita/day,2
Food supply,Soyabeans,1983,Africa + (Total),kcal/capita/day,2
Food supply,Soyabeans,1984,Africa + (Total),kcal/capita/day,2
Food supply,Soyabeans,1985,Africa + (Total),kcal/capita/day,2
Food supply,Soyabeans,1986,Africa + (Total),kcal/capita/day,2
Food supply,Soyabeans,1987,Africa + (Total),kcal/capita/day,3
Food supply,Soyabeans,1988,Africa + (Total),kcal/capita/day,3
Food supply,Soyabeans,1989,Africa + (Total),kcal/capita/day,5
Food supply,Soyabeans,1990,Africa + (Total),kcal/capita/day,5
Food supply,Soyabeans,1991,Africa + (Total),kcal/capita/day,3
Food supply,Soyabeans,1992,Africa + (Total),kcal/capita/day,3
Food supply,Soyabeans,1993,Africa + (Total),kcal/capita/day,3
Food supply,Soyabeans,1994,Africa + (Total),kcal/capita/day,3
Food supply,Soyabeans,1995,Africa + (Total),kcal/capita/day,5
Food supply,Soyabeans,1996,Africa + (Total),kcal/capita/day,5
Food supply,Soyabeans,1997,Africa + (Total),kcal/capita/day,5
Food supply,Soyabeans,1998,Africa + (Total),kcal/capita/day,6
Food supply,Soyabeans,1999,Africa + (Total),kcal/capita/day,6
Food supply,Soyabeans,2000,Africa + (Total),kcal/capita/day,6
Food supply,Soyabeans,2001,Africa + (Total),kcal/capita/day,6
Food supply,Soyabeans,2002,Africa + (Total),kcal/capita/day,6
Food supply,Soyabeans,2003,Africa + (Total),kcal/capita/day,7
Food supply,Soyabeans,2004,Africa + (Total),kcal/capita/day,7
Food supply,Soyabeans,2005,Africa + (Total),kcal/capita/day,7
Food supply,Soyabeans,2006,Africa + (Total),kcal/capita/day,8
Food supply,Soyabeans,2007,Africa + (Total),kcal/capita/day,8
Food supply,Soyabeans,2008,Africa + (Total),kcal/capita/day,9
Food supply,Soyabeans,2009,Africa + (Total),kcal/capita/day,8
Food supply,Soyabeans,1961,Albania,kcal/capita/day,0
Food supply,Soyabeans,1962,Albania,kcal/capita/day,0
Food supply,Soyabeans,1963,Albania,kcal/capita/day,0
Food supply,Soyabeans,1964,Albania,kcal/capita/day,0
Food supply,Soyabeans,1965,Albania,kcal/capita/day,0
Food supply,Soyabeans,1966,Albania,kcal/capita/day,0
Food supply,Soyabeans,1967,Albania,kcal/capita/day,0
Food supply,Soyabeans,1968,Albania,kcal/capita/day,0
Food supply,Soyabeans,1969,Albania,kcal/capita/day,0
Food supply,Soyabeans,1970,Albania,kcal/capita/day,0
Food supply,Soyabeans,1971,Albania,kcal/capita/day,0
Food supply,Soyabeans,1972,Albania,kcal/capita/day,0
Food supply,Soyabeans,1973,Albania,kcal/capita/day,0
Food supply,Soyabeans,1974,Albania,kcal/capita/day,0
Food supply,Soyabeans,1975,Albania,kcal/capita/day,0
Food supply,Soyabeans,1976,Albania,kcal/capita/day,0
Food supply,Soyabeans,1977,Albania,kcal/capita/day,0
Food supply,Soyabeans,1978,Albania,kcal/capita/day,0
Food supply,Soyabeans,1979,Albania,kcal/capita/day,0
Food supply,Soyabeans,1980,Albania,kcal/capita/day,0
Food supply,Soyabeans,1981,Albania,kcal/capita/day,0
Food supply,Soyabeans,1982,Albania,kcal/capita/day,0
Food supply,Soyabeans,1983,Albania,kcal/capita/day,0
Food supply,Soyabeans,1984,Albania,kcal/capita/day,0
Food supply,Soyabeans,1985,Albania,kcal/capita/day,0
Food supply,Soyabeans,1986,Albania,kcal/capita/day,0
Food supply,Soyabeans,1987,Albania,kcal/capita/day,0
Food supply,Soyabeans,1988,Albania,kcal/capita/day,0
Food supply,Soyabeans,1989,Albania,kcal/capita/day,0
Food supply,Soyabeans,1990,Albania,kcal/capita/day,0
Food supply,Soyabeans,1991,Albania,kcal/capita/day,0
Food supply,Soyabeans,1992,Albania,kcal/capita/day,0
Food supply,Soyabeans,1993,Albania,kcal/capita/day,0
Food supply,Soyabeans,1994,Albania,kcal/capita/day,0
Food supply,Soyabeans,1995,Albania,kcal/capita/day,0
Food supply,Soyabeans,1996,Albania,kcal/capita/day,0
Food supply,Soyabeans,1997,Albania,kcal/capita/day,0
Food supply,Soyabeans,1998,Albania,kcal/capita/day,0
Food supply,Soyabeans,1999,Albania,kcal/capita/day,0
Food supply,Soyabeans,2000,Albania,kcal/capita/day,0
Food supply,Soyabeans,2001,Albania,kcal/capita/day,0
Food supply,Soyabeans,2002,Albania,kcal/capita/day,0
Food supply,Soyabeans,2003,Albania,kcal/capita/day,0
Food supply,Soyabeans,2004,Albania,kcal/capita/day,0
Food supply,Soyabeans,2005,Albania,kcal/capita/day,0
Food supply,Soyabeans,2006,Albania,kcal/capita/day,0
Food supply,Soyabeans,2007,Albania,kcal/capita/day,0
Food supply,Soyabeans,2008,Albania,kcal/capita/day,0
Food supply,Soyabeans,2009,Albania,kcal/capita/day,0
Food supply,Soyabeans,1961,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1962,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1963,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1964,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1965,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1966,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1967,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1968,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1969,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1970,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1971,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1972,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1973,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1974,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1975,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1976,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1977,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1978,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1979,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1980,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1981,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1982,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1983,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1984,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1985,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1986,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1987,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1988,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1989,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1990,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1991,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1992,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1993,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1994,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1995,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1996,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1997,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1998,Algeria,kcal/capita/day,0
Food supply,Soyabeans,1999,Algeria,kcal/capita/day,0
Food supply,Soyabeans,2000,Algeria,kcal/capita/day,0
Food supply,Soyabeans,2001,Algeria,kcal/capita/day,0
Food supply,Soyabeans,2002,Algeria,kcal/capita/day,0
Food supply,Soyabeans,2003,Algeria,kcal/capita/day,0
Food supply,Soyabeans,2004,Algeria,kcal/capita/day,0
Food supply,Soyabeans,2005,Algeria,kcal/capita/day,0
Food supply,Soyabeans,2006,Algeria,kcal/capita/day,0
Food supply,Soyabeans,2007,Algeria,kcal/capita/day,0
